smiles,id,score,ligand_efficiency,n_heavy_atoms,mw,score_std,status
O=C(c1ccc2c(c1)CCCO2)N1CCC2(CC1)CC(=O)N(c1ccccc1)C2=O,SM-AFB2BKPV,-6.074,0.2025,30,404.47,0.004,ok
O=C(Cc1ccccc1)Nc1cccc(NC(=O)NCc2ccc3ncsc3c2)c1,SM-ZBGNCUEF,-5.863,0.1954,30,416.51,0.021,ok
c1ccc(Oc2nc(Oc3ccccc3)nc(Oc3ccccc3)n2)cc1,SM-JX8YSEGA,-5.599,0.2074,27,357.37,0.001,ok
O=C(Nc1cccc(N2CCOCC2=O)c1)N1CCC2(CC1)Cc1ccccc1O2,SM-QWRJV6JJ,-5.553,0.1851,30,407.47,0.07,ok
CN(c1ccccc1)c1ccc(CNC(=O)c2cccc3ccn(C)c23)cn1,SM-B27WJ7B3,-5.519,0.1971,28,370.46,0.042,ok
Cc1ccc(-c2cscn2)cc1NC(=O)N1CCN(c2ncc(F)cn2)CC1,SM-1K1DPFWB,-5.462,0.1951,28,398.47,0.292,ok
O=C(NCc1ccccc1)N1CCN(C(=O)c2ccc(Cn3cc(Br)cn3)o2)CC1,SM-UN33CVSD,-5.451,0.1817,30,472.34,0.005,ok
CCCOc1ccccc1CNC(=O)Nc1ccc(F)c(NC(C)=O)c1F,SM-LSWKXD8P,-5.404,0.2001,27,377.39,0.017,ok
O=C(Nc1ccccc1)c1ccc(F)c(-c2cnc(N3CCC(CO)CC3)nc2)c1,SM-DZQADUHH,-5.354,0.1785,30,406.46,0.15,ok
COc1ccccc1NC(=O)C1CCN(C(=O)c2cc(C)c3c(cnn3C)c2)CC1,SM-AMF93CLJ,-5.269,0.1756,30,406.49,0.023,ok
O=C(NCc1ccccc1)c1csc(N(C(=O)[C@H]2[C@@H]3CCC[C@@H]32)c2ccncn2)n1,SM-B8YN2QTF,-5.201,0.1734,30,419.51,0.049,ok
CC(C)(C(=O)Nc1nc(-c2ccc3c(c2)OCCO3)cs1)c1ccncc1Br,SM-GFLQCBB1,-5.143,0.1837,28,460.35,0.019,ok
Cc1ccc(C(=O)Nc2sc(Nc3ccccc3)nc2C(N)=O)cc1,SM-S14MFNF4,-5.094,0.2038,25,352.42,0.061,ok
COc1ccccc1N1CC(C(=O)Nc2nc(-c3ccc(SC)cc3)cs2)CC1=O,SM-PKNB41YN,-5.057,0.1686,30,439.56,0.122,ok
O=C(NCc1cnn2c1CCC2)c1oc2ccccc2c1CSCc1ccccc1,SM-6GBKAPH7,-4.941,0.1647,30,417.53,0.103,ok
COc1ccccc1C(=O)N1CCN(C(=O)Nc2ccc3csnc3c2)CC1,SM-JNTJZQ13,-4.887,0.1745,28,396.47,0.015,ok
O=C(Nc1ccccc1-c1nnco1)N1CCN(c2nc3ccc(Cl)cc3o2)CC1,SM-RH53UNJP,-4.82,0.1607,30,424.85,0.032,ok
O=C(Nc1ccccc1)N1CCN(C(=O)N[C@H](c2cccnc2)C2CC2)CC1,SM-BN5H2PS6,-4.715,0.1684,28,379.46,8.236,ok
CCN(C)c1ccccc1NC(=O)N1CCN(c2cc(C)c3ccccc3n2)CC1,SM-WNAD4TE2,-4.706,0.1569,30,403.53,0.034,ok
O=C(Nc1ccccc1NC(=O)N1CCN(Cc2ccsc2)CC1)c1cnccn1,SM-K9V31BLG,-4.702,0.1567,30,422.51,0.006,ok
