pocket,pdb_id,ligand_id,smiles
A,5QRF,NUA,CCn1cc(cn1)NC(=O)C2CCC2
A,5QRG,JHP,Cn1cc(c(n1)C(=O)NC2CCCC2)Cl
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3
A,5QRI,NUY,CC(C)N1CCN(CC1)C(=O)c2cccs2
A,5QRJ,NWP,C[C@@H]1CN(CCO1)S(=O)(=O)N(C)C(C)C
A,5QRK,NWV,Cn1cc(cn1)CNC(=O)c2ccco2
A,5QRL,NWY,Cc1ccc(cn1)CNC(=O)C2CCC2
A,5QRN,NX7,c1cc(c(c(c1)F)C(=O)N2CCCC2)F
A,5QRO,NXJ,CC1(C[C@@H]1C(=O)N(C)c2cccnc2)C
A,5QRP,NXM,C1CC1c2nc(on2)CC3CCNCC3
A,5QRQ,NXS,c1cnc(nc1)N2CCC(CC2)CO
A,5QRS,NY4,C[C@@H](c1ccc(cc1)NC(=O)C2CC2)N
A,5QRT,GWA,CC(=O)Nc1cccc(c1)NC(=O)COC
A,5QRV,K2M,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)N
A,5QRX,NZG,CC(=O)Nc1cc(ccc1F)C(=O)O
A,5QRY,NZD,CN1CCN(CC1)C(=O)Nc2ccccc2
A,5QRZ,NZ7,CN(C)C(=O)N1CCOC[C@]12CCOC2
A,5QS2,LV4,c1ccc(c(c1)NC(=S)N)OC(F)(F)F
A,5QS3,LJA,CC(=O)Nc1cccc(c1)NC(=O)N
A,5QS4,JFP,CCC(=O)Nc1nc(cs1)C
A,5QS5,NZJ,Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N
A,5QSD,O0S,CC(=O)Nc1ccc(cc1)Oc2ncccn2
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3
A,8A7N,L9E,CN(CCCN)C(=O)c1cccc(c1)N[C@H]2CCN(C2=O)c3ccccc3F
D,5QSA,K2P,c1ccc(c(c1)C(=O)O)OC(F)(F)F
D,5QSC,O0P,CN(Cc1cccc(c1)F)S(=O)(=O)N
D,5QSI,O1D,c1ccc(cc1)COc2cccc(c2)N
D,5QSK,O1J,c1ccc(cc1)COCC(=O)O
C,5QS6,K0G,c1ccc(cc1)NC(=O)Nc2cccnc2
C,5QS8,O0G,C[C@@H](CO)Nc1c(cc(cn1)Cl)F
C,5QSB,O0M,CC(C)c1ccc(cc1)CN2CCC(CC2)O
C,5QSE,O0V,C[C@@H](CO)N(C)c1c(cccn1)F
C,5QSF,O0Y,CCN(CC)c1cccc(c1)O
C,5QSG,O1A,CC(=O)Nc1ccc(cc1)N2CCN(CC2)C
C,5QT0,JHJ,COc1ccc(cc1)NC(=O)Nc2ccncc2
C,5QSH,NVY,CCN1CCC(CC1)Nc2ccccc2F
C,5QSJ,O1M,c1cc(ccc1N2CCN(CC2)C(=O)N)F
C,5QSC,O0P,CN(Cc1cccc(c1)F)S(=O)(=O)N
A,5QRR,NY1,Cc1nc(cs1)CC(=O)N2CCOCC2
B,5QSL,O2A,CNC(=O)c1cccc2c1[nH]cc2
B,5QRU,NY7,Cc1ccc(c(c1)NC(=O)CN)OC
B,5QRW,NYV,CC(C)n1cc(nc1)S(=O)(=O)N
B,5QS1,NZ1,COc1ccc2c(c1)nc(s2)N
B,5QS0,NZ4,CC(=O)c1cccc(c1)NC(=O)N2CCOCC2
